person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_clipped,income_loan_ratio,income_emp_length_ratio,loan_credit_hist_ratio
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,59000.0,1.6857142857142857,479.6747967479675,11666.666666666666
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,9600.0,9.6,1920.0,500.0
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,9600.0,1.7454545454545454,9600.0,1833.3333333333333
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,65500.0,1.8714285714285714,16375.0,17500.0
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,54400.0,1.5542857142857143,6800.0,8750.0
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,9900.0,3.96,4950.0,1250.0
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,77100.0,2.202857142857143,9637.5,11666.666666666666
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,78956.0,2.2558857142857143,15791.2,8750.0
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,83000.0,2.3714285714285714,10375.0,17500.0
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,10000.0,6.25,1666.6666666666667,533.3333333333334
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,85000.0,2.4285714285714284,14166.666666666666,8750.0
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,10000.0,2.2222222222222223,5000.0,2250.0
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,95000.0,2.7142857142857144,47500.0,17500.0
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,108160.0,3.0902857142857143,27040.0,8750.0
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,115000.0,3.2857142857142856,57500.0,8750.0
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,190376.8000000002,6.34589333333334,27196.68571428574,10000.0
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,120000.0,3.4285714285714284,inf,8750.0
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,92111.0,2.631742857142857,13158.714285714286,8750.0
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,113000.0,3.2285714285714286,14125.0,8750.0
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,10800.0,6.171428571428572,1350.0,875.0
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,162500.0,4.642857142857143,81250.0,8750.0
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,137000.0,3.9367816091954024,15222.222222222223,17400.0
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,65000.0,1.911764705882353,16250.0,8500.0
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,10980.0,7.32,inf,500.0
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,80000.0,2.3564064801178204,26666.666666666668,8487.5
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,67746.0,2.052909090909091,8468.25,11000.0
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,11000.0,2.4043715846994536,3666.6666666666665,1525.0
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,11000.0,7.857142857142857,inf,466.6666666666667
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,65000.0,2.0,10833.333333333334,10833.333333333334
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,11389.0,2.84725,2277.8,2000.0
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,11520.0,5.76,2304.0,666.6666666666666
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,120000.0,3.75,60000.0,16000.0
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,95000.0,3.0595813204508855,13571.42857142857,10350.0
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,190376.8000000002,7.850589690721657,95188.4000000001,8083.333333333333
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,190376.8000000002,24.407282051282078,19037.68000000002,1950.0
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,12000.0,4.8,2400.0,625.0
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,48000.0,1.6,48000.0,15000.0
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,64000.0,2.1333333333333333,8000.0,10000.0
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,75000.0,2.5,18750.0,7500.0
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,71500.0,2.3833333333333333,23833.333333333332,7500.0
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,62050.0,2.0683333333333334,10341.666666666666,15000.0
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,12000.0,4.8,3000.0,833.3333333333334
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,190376.8000000002,9.51884000000001,19037.68000000002,5000.0
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,190376.8000000002,7.850589690721657,190376.8000000002,12125.0
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,190376.8000000002,19.03768000000002,21152.9777777778,2500.0
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,190376.8000000002,7.615072000000008,inf,8333.333333333334
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,190376.8000000002,10.5764888888889,21152.9777777778,6000.0
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,80690.0,2.6896666666666667,10086.25,10000.0
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,66300.0,2.21,16575.0,10000.0
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,89028.0,2.9676,inf,10000.0
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,78000.0,2.6,19500.0,7500.0
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,78000.0,2.6,11142.857142857143,10000.0
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,92004.0,3.0668,15334.0,10000.0
